,Company,WC/TA,RE/TA,EBIT/TA,S/TA,BVE/BVL,Bankrupt
0,360Networks,9.3,-7.7,1.6,9.1,3.726,1.0
1,Advanced Radio Telecom,42.6,-60.1,-10.1,0.3,4.13,1.0
2,Ardent Communications,-28.8,-203.2,-51.0,14.7,0.111,1.0
3,At Home Corp.,2.5,-433.1,-6.0,29.3,1.949,1.0
4,Convergent Communications,26.1,-52.31666666666667,-23.5,54.2,0.855,1.0
5,Covad Communications,39.2,-111.8,-77.8,10.5,0.168,1.0
6,e.spire,-5.4,-105.2,-5.8,38.9,0.028,1.0
7,eGlobe,-35.2,-92.4,-32.5,48.5,11.28,1.0
8,Exodus Communications,10.5,-12.4,-2.3,21.0,2.5,1.0
9,General Datacomm Industries,-22.4,-124.5,-7.9,125.6,2.3633125,1.0
10,Global Telesystems,24.6,-29.0,-2.0,21.3,1.968,1.0
11,GST Telecom,6.6,-50.9,-2.6,28.9,0.258,1.0
12,Metricom,33.9,-46.5,-17.5,0.9,0.828,1.0
13,Net2000 Communications,19.1,-66.3,-25.5,22.3,0.46,1.0
14,NetVoice Technologies,-21.1,-46.0,-26.8,81.4,0.698,1.0
15,PSINet,2.5,-228.7,-6.7,38.6,0.03,1.0
16,Rhythms NetConnections,47.0,-52.31666666666667,-42.0,40.91458333333333,0.168,1.0
17,RSL Communications,9.1,-40.2,-0.7,81.5,0.522,1.0
18,SSE Telecom,43.0,-49.2,-87.4,119.9,2.919,1.0
19,Startec Global Communications,-34.9,-79.0,-13.5,127.8,0.197,0.5
20,Teligent,20.6,-146.3,-7.260416666666667,12.6,0.075,1.0
21,U.S. Wireless,-51.6,-326.1,-98.7,0.9,2.402,1.0
22,Viatel,-93.0,-95.2,-7.3,34.8,0.071,1.0
23,WebLink Wireless,-127.5,-121.3,6.4,65.7,0.248,1.0
24,Winstar,-1.2,-47.5,-9.7,14.5,0.456,1.0
25,Aether Systems,30.6,-14.4,-4.9,2.2,3.482,0.0
26,Akamai Technologies,9.8,-33.8,-7.1,3.2,5.965,0.0
27,Allegiance Telecom,37.8,-45.4,-7.1,17.1,3.45,0.0
28,ALLTEL Corp.,2.2,31.6,22.0,58.0,2.758,0.0
29,BellSouth,-11.5,27.6,24.4,51.4,2.266,0.0
30,Broadwing,-4.1,-5.8,7.7,31.6,1.222,0.0
31,CenturyTel,-5.7,21.1,14.3,28.9,1.153,0.0
32,Citizens Communications,25.2,0.0,7.9,25.9,0.717,0.0
33,Commonwealth Telephone,-5.7,0.0,16.3,49.9,1.517,0.0
34,Conestoga Enterprises,1.7,11.4,14.1,48.0,1.347,0.0
35,Digex,13.8,-37.6,-13.0,32.3,13.768,0.0
36,Equant,8.2,-15.6,0.3,87.7,5.444,0.0
37,Garmin,74.7,54.6,27.9,74.6,3.72,0.0
38,Gilat Satellite Networks,43.1,-0.4,-7.260416666666667,40.0,0.925,0.0
39,IDT Corp.,48.7,38.4,-9.2,65.4,0.705,0.0
40,Infonet,40.7,0.6,1.8,49.2,7.497,0.0
41,Openwave Systems,20.3,-61.3,1.9,27.0,2.3633125,0.0
42,Price Communications,16.1,3.6,11.6,40.91458333333333,0.856,0.0
43,Qwest,-6.1,0.0,9.4,22.6,2.123,0.0
44,SBC Communications,-7.2,18.6,20.8,52.2,2.413,0.0
45,Telephone and Data Systems,-5.3,31.0,4.9,26.9,1.362,0.0
46,Time Warner Telecom,4.1,-10.1,9.7,36.0,7.623,0.0
47,U.S. Cellular,0.3,27.9,16.1,49.5,4.357,0.0
48,Verizon Communications,-7.4,8.9,15.3,39.3,1.273,0.5
49,Western Wireless,1.1,-39.5,15.7,41.8,1.449,0.0
